,matrikel_num,Studienjahr,geschlecht,avgECTS_sem_before,ects_year_before,year,first_exam_negative,AHS_dummy,BHS_dummy,ausland_vorbildung_dummy,sonstige_vorbildung_dummy,delayed_dummy,num_parallel_studies,jus_dummy,bwl_dummy,years_since_matura,styria_dummy,not_styria_dummy,germany_dummy,other_foreign_dummy,years_since_18,planned_duration,full_duration_sem,full_duration_sem_before,firstGen,cum_ects_pos_before,status_key,ECTS_year,SWS_year,active_dummy,subject
6770,1623160,3.0,1,17.375,35.0,18,0.0,0,0,0,1,0,0,0.0,0.0,1.0,1,0,0,0,6.0,6,6.0,4.0,1.0,69.5,I,36.0,20.0,1,Padagogik
6771,1623160,4.0,1,17.583333333333332,36.0,19,0.0,0,0,0,1,0,0,0.0,0.0,1.0,1,0,0,0,6.0,6,8.0,6.0,1.0,105.5,I,20.5,11.0,1,Padagogik
1894,1624048,1.0,0,0.0,,16,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1.0,6,2.0,0.0,1.0,0.0,I,35.0,19.0,1,Padagogik
6778,1624048,2.0,0,17.5,35.0,17,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0,1,0,0,1.0,6,4.0,2.0,1.0,35.0,I,28.0,14.0,1,Padagogik
6779,1624048,3.0,0,15.75,28.0,18,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0,1,0,0,1.0,6,6.0,4.0,1.0,63.0,I,21.0,12.0,1,Padagogik
6780,1624048,4.0,0,16.8,21.0,19,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1.0,6,7.860274,5.0,1.0,84.0,X,27.0,8.0,1,Padagogik
1897,1624060,1.0,0,0.0,,16,0.0,0,1,0,0,0,0,0.0,0.0,1.0,0,1,0,0,2.0,6,2.0,0.0,1.0,0.0,I,33.0,20.0,1,Padagogik
6785,1624060,2.0,0,16.5,33.0,17,0.0,0,1,0,0,0,0,0.0,0.0,1.0,0,1,0,0,2.0,6,4.0,2.0,1.0,33.0,I,40.0,21.0,1,Padagogik
6786,1624060,3.0,0,18.25,40.0,18,0.0,0,1,0,0,0,0,0.0,0.0,1.0,0,1,0,0,2.0,6,6.0,4.0,1.0,73.0,I,48.0,26.0,1,Padagogik
6787,1624060,4.0,0,24.2,48.0,19,0.0,0,1,0,0,0,0,0.0,0.0,1.0,0,1,0,0,2.0,6,7.70137,5.0,1.0,121.0,X,49.0,23.0,1,Padagogik
1928,1626416,1.0,0,0.0,,16,0.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,0,0,8.0,6,2.0,0.0,1.0,0.0,I,57.0,34.0,1,Padagogik
6802,1626416,2.0,0,28.5,57.0,17,0.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,0,0,8.0,6,4.0,2.0,1.0,57.0,I,68.0,32.0,1,Padagogik
6803,1626416,3.0,0,31.25,68.0,18,0.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,0,0,8.0,6,6.0,4.0,1.0,125.0,I,37.0,20.0,1,Padagogik
6804,1626416,4.0,0,32.4,37.0,19,0.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,0,0,8.0,6,6.509589,5.0,1.0,162.0,X,11.0,6.0,1,Padagogik
1932,1627538,1.0,0,0.0,,16,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1.0,6,2.0,0.0,0.0,0.0,I,19.5,12.0,1,Padagogik
6805,1627538,2.0,0,9.75,19.5,17,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1.0,6,4.0,2.0,0.0,19.5,I,32.5,17.0,1,Padagogik
6806,1627538,3.0,0,13.0,32.5,18,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1.0,6,6.0,4.0,0.0,52.0,I,64.0,36.0,1,Padagogik
6807,1627538,4.0,0,23.2,64.0,19,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1.0,6,7.684932,5.0,0.0,116.0,X,31.5,6.0,1,Padagogik
1943,1628888,1.0,1,0.0,,16,0.0,1,0,0,0,0,0,0.0,0.0,1.0,1,0,0,0,2.0,6,2.0,0.0,0.0,0.0,I,35.0,20.0,1,Padagogik
6815,1628888,2.0,1,17.5,35.0,17,0.0,1,0,0,0,0,0,0.0,0.0,1.0,1,0,0,0,2.0,6,4.0,2.0,0.0,35.0,I,23.0,12.0,1,Padagogik
6816,1628888,3.0,1,14.5,23.0,18,0.0,1,0,0,0,0,0,0.0,0.0,1.0,1,0,0,0,2.0,6,6.0,4.0,0.0,58.0,I,34.0,18.0,1,Padagogik
6817,1628888,4.0,1,15.333333333333334,34.0,19,0.0,1,0,0,0,0,0,0.0,0.0,1.0,1,0,0,0,2.0,6,8.0,6.0,0.0,92.0,I,34.0,12.0,1,Padagogik
1954,1629593,1.0,1,0.0,,16,0.0,1,0,0,0,0,0,0.0,0.0,1.0,1,0,0,0,3.0,6,2.0,0.0,1.0,0.0,I,18.0,11.0,1,Padagogik
6824,1629593,2.0,1,9.0,18.0,17,0.0,1,0,0,0,0,1,0.0,0.0,1.0,1,0,0,0,3.0,6,4.0,2.0,1.0,18.0,I,16.0,8.0,1,Padagogik
6825,1629593,3.0,1,8.5,16.0,18,0.0,1,0,0,0,0,1,0.0,0.0,1.0,1,0,0,0,3.0,6,6.0,4.0,1.0,34.0,I,38.0,20.0,1,Padagogik
6826,1629593,4.0,1,12.0,38.0,19,0.0,1,0,0,0,0,1,0.0,0.0,1.0,1,0,0,0,3.0,6,8.0,6.0,1.0,72.0,I,61.0,27.0,1,Padagogik
1955,1629604,1.0,0,0.0,,16,0.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,0,0,5.0,6,2.0,0.0,1.0,0.0,I,57.0,32.0,1,Padagogik
6827,1629604,2.0,0,28.5,57.0,17,0.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,0,0,5.0,6,4.0,2.0,1.0,57.0,I,22.0,12.0,1,Padagogik
6828,1629604,3.0,0,19.75,22.0,18,0.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,0,0,5.0,6,6.0,4.0,1.0,79.0,I,43.0,22.0,1,Padagogik
6829,1629604,4.0,0,24.4,43.0,19,0.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,0,0,5.0,6,7.586301,5.0,1.0,122.0,X,46.0,18.0,1,Padagogik
1966,1632701,1.0,0,0.0,,16,0.0,0,0,1,0,0,0,0.0,0.0,1.0,0,0,1,0,2.0,6,2.0,0.0,1.0,0.0,I,42.0,26.5,1,Padagogik
6838,1632701,2.0,0,21.0,42.0,17,0.0,0,0,1,0,0,1,0.0,0.0,1.0,0,0,1,0,2.0,6,4.0,2.0,1.0,42.0,I,10.0,6.0,0,Padagogik
6839,1632701,3.0,0,13.0,10.0,18,0.0,0,0,1,0,0,1,0.0,0.0,1.0,0,0,1,0,2.0,6,6.0,4.0,1.0,52.0,I,11.0,6.0,0,Padagogik
